# =============================================================================
# DEMO DATA – blinker_colors_demo.csv
#
# THIS IS SYNTHETIC DATA FOR PIPELINE VALIDATION ONLY.
# DO NOT USE FOR REAL-WORLD ANALYSIS OR POLICY CONCLUSIONS.
#
# Signal colour assignments are based on general knowledge of US-market vehicles
# but are deliberately incomplete and not authoritative.
# =============================================================================
make,model,model_year,rear_signal_color_raw,source,manufacturer,source_url,confidence_score,trim_scope,notes,market
Toyota,Camry,2005,amber,independent_review,Toyota,,0.8,all,Demo data – synthetic,US
Toyota,Camry,2010,amber,independent_review,Toyota,,0.8,all,Demo data – synthetic,US
Toyota,Camry,2015,amber,independent_review,Toyota,,0.8,all,Demo data – synthetic,US
Toyota,Camry,2020,amber,independent_review,Toyota,,0.8,all,Demo data – synthetic,US
Toyota,Corolla,2005,amber,independent_review,Toyota,,0.8,all,Demo data – synthetic,US
Toyota,Corolla,2010,amber,independent_review,Toyota,,0.8,all,Demo data – synthetic,US
Toyota,Corolla,2015,amber,independent_review,Toyota,,0.8,all,Demo data – synthetic,US
Toyota,Corolla,2020,amber,independent_review,Toyota,,0.8,all,Demo data – synthetic,US
Toyota,RAV4,2010,amber,independent_review,Toyota,,0.8,all,Demo data – synthetic,US
Toyota,RAV4,2015,amber,independent_review,Toyota,,0.8,all,Demo data – synthetic,US
Toyota,RAV4,2020,amber,independent_review,Toyota,,0.8,all,Demo data – synthetic,US
Toyota,Highlander,2010,amber,independent_review,Toyota,,0.75,all,Demo data – synthetic,US
Toyota,Highlander,2015,amber,independent_review,Toyota,,0.75,all,Demo data – synthetic,US
Toyota,Highlander,2020,amber,independent_review,Toyota,,0.75,all,Demo data – synthetic,US
Toyota,Tacoma,2010,amber,independent_review,Toyota,,0.8,all,Demo data – synthetic,US
Toyota,Tacoma,2015,amber,independent_review,Toyota,,0.8,all,Demo data – synthetic,US
Toyota,Tacoma,2020,amber,independent_review,Toyota,,0.8,all,Demo data – synthetic,US
Honda,Accord,2005,amber,independent_review,Honda,,0.8,all,Demo data – synthetic,US
Honda,Accord,2010,amber,independent_review,Honda,,0.8,all,Demo data – synthetic,US
Honda,Accord,2015,amber,independent_review,Honda,,0.8,all,Demo data – synthetic,US
Honda,Accord,2020,amber,independent_review,Honda,,0.8,all,Demo data – synthetic,US
Honda,Civic,2005,amber,independent_review,Honda,,0.8,all,Demo data – synthetic,US
Honda,Civic,2010,amber,independent_review,Honda,,0.8,all,Demo data – synthetic,US
Honda,Civic,2015,amber,independent_review,Honda,,0.8,all,Demo data – synthetic,US
Honda,Civic,2020,amber,independent_review,Honda,,0.8,all,Demo data – synthetic,US
Honda,CR-V,2010,amber,independent_review,Honda,,0.8,all,Demo data – synthetic,US
Honda,CR-V,2015,amber,independent_review,Honda,,0.8,all,Demo data – synthetic,US
Honda,CR-V,2020,amber,independent_review,Honda,,0.8,all,Demo data – synthetic,US
Ford,F-150,2005,red,independent_review,Ford,,0.8,all,Demo data – synthetic,US
Ford,F-150,2010,red,independent_review,Ford,,0.8,all,Demo data – synthetic,US
Ford,F-150,2015,red,independent_review,Ford,,0.8,all,Demo data – synthetic,US
Ford,F-150,2020,red,independent_review,Ford,,0.8,all,Demo data – synthetic,US
Ford,Explorer,2005,red,independent_review,Ford,,0.75,all,Demo data – synthetic,US
Ford,Explorer,2010,red,independent_review,Ford,,0.75,all,Demo data – synthetic,US
Ford,Explorer,2015,red,independent_review,Ford,,0.75,all,Demo data – synthetic,US
Ford,Explorer,2020,red,independent_review,Ford,,0.75,all,Demo data – synthetic,US
Ford,Mustang,2005,red,independent_review,Ford,,0.8,all,Demo data – synthetic,US
Ford,Mustang,2010,red,independent_review,Ford,,0.8,all,Demo data – synthetic,US
Ford,Mustang,2015,red,independent_review,Ford,,0.8,all,Demo data – synthetic,US
Ford,Mustang,2020,red,independent_review,Ford,,0.8,all,Demo data – synthetic,US
Chevrolet,Silverado 1500,2005,red,independent_review,General Motors,,0.8,all,Demo data – synthetic,US
Chevrolet,Silverado 1500,2010,red,independent_review,General Motors,,0.8,all,Demo data – synthetic,US
Chevrolet,Silverado 1500,2015,red,independent_review,General Motors,,0.8,all,Demo data – synthetic,US
Chevrolet,Silverado 1500,2020,red,independent_review,General Motors,,0.8,all,Demo data – synthetic,US
Chevrolet,Malibu,2010,red,independent_review,General Motors,,0.75,all,Demo data – synthetic,US
Chevrolet,Malibu,2015,red,independent_review,General Motors,,0.75,all,Demo data – synthetic,US
Chevrolet,Malibu,2020,red,independent_review,General Motors,,0.75,all,Demo data – synthetic,US
GMC,Sierra 1500,2010,red,independent_review,General Motors,,0.75,all,Demo data – synthetic,US
GMC,Sierra 1500,2015,red,independent_review,General Motors,,0.75,all,Demo data – synthetic,US
GMC,Sierra 1500,2020,red,independent_review,General Motors,,0.75,all,Demo data – synthetic,US
Honda,Pilot,2010,mixed,enthusiast_forum,Honda,,0.6,trim dependent,Demo data – synthetic; some trims amber some red,US
Honda,Pilot,2015,amber,independent_review,Honda,,0.75,all,Demo data – synthetic,US
Honda,Pilot,2020,amber,independent_review,Honda,,0.75,all,Demo data – synthetic,US
Subaru,Outback,2010,amber,independent_review,Subaru,,0.8,all,Demo data – synthetic,US
Subaru,Outback,2015,amber,independent_review,Subaru,,0.8,all,Demo data – synthetic,US
Subaru,Outback,2020,amber,independent_review,Subaru,,0.8,all,Demo data – synthetic,US
Subaru,Forester,2010,amber,independent_review,Subaru,,0.8,all,Demo data – synthetic,US
Subaru,Forester,2015,amber,independent_review,Subaru,,0.8,all,Demo data – synthetic,US
Subaru,Forester,2020,amber,independent_review,Subaru,,0.8,all,Demo data – synthetic,US
Volkswagen,Jetta,2010,amber,independent_review,Volkswagen,,0.75,all,Demo data – synthetic,US
Volkswagen,Jetta,2015,amber,independent_review,Volkswagen,,0.75,all,Demo data – synthetic,US
Volkswagen,Jetta,2020,amber,independent_review,Volkswagen,,0.75,all,Demo data – synthetic,US
Nissan,Altima,2010,red,independent_review,Nissan,,0.75,all,Demo data – synthetic,US
Nissan,Altima,2015,red,independent_review,Nissan,,0.75,all,Demo data – synthetic,US
Nissan,Altima,2020,red,independent_review,Nissan,,0.75,all,Demo data – synthetic,US
Nissan,Rogue,2015,red,independent_review,Nissan,,0.75,all,Demo data – synthetic,US
Nissan,Rogue,2020,red,independent_review,Nissan,,0.75,all,Demo data – synthetic,US
Dodge,Ram 1500,2005,red,independent_review,Chrysler,,0.75,all,Demo data – synthetic,US
Dodge,Ram 1500,2010,red,independent_review,Chrysler,,0.75,all,Demo data – synthetic,US
Ram,Ram 1500,2015,red,independent_review,Stellantis,,0.8,all,Demo data – synthetic,US
Ram,Ram 1500,2020,red,independent_review,Stellantis,,0.8,all,Demo data – synthetic,US
Hyundai,Elantra,2010,amber,independent_review,Hyundai,,0.75,all,Demo data – synthetic,US
Hyundai,Elantra,2015,amber,independent_review,Hyundai,,0.75,all,Demo data – synthetic,US
Hyundai,Elantra,2020,amber,independent_review,Hyundai,,0.75,all,Demo data – synthetic,US
Hyundai,Tucson,2015,amber,independent_review,Hyundai,,0.75,all,Demo data – synthetic,US
Hyundai,Tucson,2020,amber,independent_review,Hyundai,,0.75,all,Demo data – synthetic,US
Kia,Sportage,2015,amber,independent_review,Kia,,0.75,all,Demo data – synthetic,US
Kia,Sportage,2020,amber,independent_review,Kia,,0.75,all,Demo data – synthetic,US
Mazda,Mazda3,2010,amber,independent_review,Mazda,,0.75,all,Demo data – synthetic,US
Mazda,Mazda3,2015,amber,independent_review,Mazda,,0.75,all,Demo data – synthetic,US
Mazda,Mazda3,2020,amber,independent_review,Mazda,,0.75,all,Demo data – synthetic,US
BMW,3 Series,2010,amber,independent_review,BMW,,0.8,all,Demo data – synthetic,US
BMW,3 Series,2015,amber,independent_review,BMW,,0.8,all,Demo data – synthetic,US
BMW,3 Series,2020,amber,independent_review,BMW,,0.8,all,Demo data – synthetic,US
Mercedes-Benz,C-Class,2010,red,independent_review,Mercedes-Benz,,0.75,all,Demo data – synthetic,US
Mercedes-Benz,C-Class,2015,red,independent_review,Mercedes-Benz,,0.75,all,Demo data – synthetic,US
Mercedes-Benz,C-Class,2020,red,independent_review,Mercedes-Benz,,0.75,all,Demo data – synthetic,US
Audi,A4,2010,amber,independent_review,Audi,,0.8,all,Demo data – synthetic,US
Audi,A4,2015,amber,independent_review,Audi,,0.8,all,Demo data – synthetic,US
Audi,A4,2020,amber,independent_review,Audi,,0.8,all,Demo data – synthetic,US
Tesla,Model 3,2018,red,independent_review,Tesla,,0.85,all,Demo data – synthetic,US
