make,model,model_year,incident_year,fatal_crash_count,occupant_death_count,total_incident_count,claim_count,incident_source,incident_quality_flag,crss_weight
Toyota,Camry,2005,2006,6,8,,,synthetic,low,
Toyota,Camry,2005,2007,6,8,,,synthetic,low,
Toyota,Camry,2005,2008,4,5,,,synthetic,low,
Toyota,Camry,2005,2009,6,7,,,synthetic,low,
Toyota,Camry,2005,2010,6,8,,,synthetic,low,
Toyota,Camry,2010,2011,10,12,,,synthetic,low,
Toyota,Camry,2010,2012,4,4,,,synthetic,low,
Toyota,Camry,2010,2013,7,8,,,synthetic,low,
Toyota,Camry,2010,2014,0,0,,,synthetic,low,
Toyota,Camry,2010,2015,1,1,,,synthetic,low,
Toyota,Camry,2015,2016,11,14,,,synthetic,low,
Toyota,Camry,2015,2017,3,4,,,synthetic,low,
Toyota,Camry,2015,2018,2,2,,,synthetic,low,
Toyota,Camry,2015,2019,4,5,,,synthetic,low,
Toyota,Camry,2015,2020,5,6,,,synthetic,low,
Toyota,Camry,2020,2021,6,7,,,synthetic,low,
Toyota,Camry,2020,2022,9,11,,,synthetic,low,
Toyota,Camry,2020,2023,7,8,,,synthetic,low,
Toyota,Camry,2020,2024,3,3,,,synthetic,low,
Toyota,Camry,2020,2025,4,5,,,synthetic,low,
Toyota,Corolla,2005,2006,11,12,,,synthetic,low,
Toyota,Corolla,2005,2007,7,9,,,synthetic,low,
Toyota,Corolla,2005,2008,1,1,,,synthetic,low,
Toyota,Corolla,2005,2009,6,6,,,synthetic,low,
Toyota,Corolla,2005,2010,5,6,,,synthetic,low,
Toyota,Corolla,2010,2011,4,5,,,synthetic,low,
Toyota,Corolla,2010,2012,6,8,,,synthetic,low,
Toyota,Corolla,2010,2013,3,3,,,synthetic,low,
Toyota,Corolla,2010,2014,0,0,,,synthetic,low,
Toyota,Corolla,2010,2015,7,9,,,synthetic,low,
Toyota,Corolla,2015,2016,7,9,,,synthetic,low,
Toyota,Corolla,2015,2017,4,5,,,synthetic,low,
Toyota,Corolla,2015,2018,0,0,,,synthetic,low,
Toyota,Corolla,2015,2019,0,0,,,synthetic,low,
Toyota,Corolla,2015,2020,2,2,,,synthetic,low,
Toyota,Corolla,2020,2021,0,0,,,synthetic,low,
Toyota,Corolla,2020,2022,6,8,,,synthetic,low,
Toyota,Corolla,2020,2023,2,2,,,synthetic,low,
Toyota,Corolla,2020,2024,1,1,,,synthetic,low,
Toyota,Corolla,2020,2025,6,7,,,synthetic,low,
Toyota,RAV4,2010,2011,6,7,,,synthetic,low,
Toyota,RAV4,2010,2012,3,4,,,synthetic,low,
Toyota,RAV4,2010,2013,5,6,,,synthetic,low,
Toyota,RAV4,2010,2014,6,7,,,synthetic,low,
Toyota,RAV4,2010,2015,6,7,,,synthetic,low,
Toyota,RAV4,2015,2016,6,8,,,synthetic,low,
Toyota,RAV4,2015,2017,3,3,,,synthetic,low,
Toyota,RAV4,2015,2018,5,6,,,synthetic,low,
Toyota,RAV4,2015,2019,6,7,,,synthetic,low,
Toyota,RAV4,2015,2020,6,7,,,synthetic,low,
Toyota,RAV4,2020,2021,1,1,,,synthetic,low,
