make,model,model_year,year_of_exposure,vehicles_on_road,registered_vehicle_years,exposure_source,exposure_quality_flag
Toyota,Camry,2005,2006,456274,456274,synthetic,low
Toyota,Camry,2005,2007,394335,394335,synthetic,low
Toyota,Camry,2005,2008,372311,372311,synthetic,low
Toyota,Camry,2005,2009,340710,340710,synthetic,low
Toyota,Camry,2005,2010,330000,330000,synthetic,low
Toyota,Camry,2010,2011,529188,529188,synthetic,low
Toyota,Camry,2010,2012,497161,497161,synthetic,low
Toyota,Camry,2010,2013,421948,421948,synthetic,low
Toyota,Camry,2010,2014,401756,401756,synthetic,low
Toyota,Camry,2010,2015,355008,355008,synthetic,low
Toyota,Camry,2015,2016,563681,563681,synthetic,low
Toyota,Camry,2015,2017,533885,533885,synthetic,low
Toyota,Camry,2015,2018,467669,467669,synthetic,low
Toyota,Camry,2015,2019,438037,438037,synthetic,low
Toyota,Camry,2015,2020,421735,421735,synthetic,low
Toyota,Camry,2020,2021,492202,492202,synthetic,low
Toyota,Camry,2020,2022,438197,438197,synthetic,low
Toyota,Camry,2020,2023,418438,418438,synthetic,low
Toyota,Camry,2020,2024,393363,393363,synthetic,low
Toyota,Camry,2020,2025,333709,333709,synthetic,low
Toyota,Corolla,2005,2006,391621,391621,synthetic,low
Toyota,Corolla,2005,2007,356526,356526,synthetic,low
Toyota,Corolla,2005,2008,316493,316493,synthetic,low
Toyota,Corolla,2005,2009,285707,285707,synthetic,low
Toyota,Corolla,2005,2010,284676,284676,synthetic,low
Toyota,Corolla,2010,2011,413136,413136,synthetic,low
Toyota,Corolla,2010,2012,370663,370663,synthetic,low
Toyota,Corolla,2010,2013,341151,341151,synthetic,low
Toyota,Corolla,2010,2014,338413,338413,synthetic,low
Toyota,Corolla,2010,2015,304006,304006,synthetic,low
Toyota,Corolla,2015,2016,474127,474127,synthetic,low
Toyota,Corolla,2015,2017,432922,432922,synthetic,low
Toyota,Corolla,2015,2018,390754,390754,synthetic,low
Toyota,Corolla,2015,2019,375143,375143,synthetic,low
Toyota,Corolla,2015,2020,325537,325537,synthetic,low
Toyota,Corolla,2020,2021,412133,412133,synthetic,low
Toyota,Corolla,2020,2022,389625,389625,synthetic,low
Toyota,Corolla,2020,2023,351136,351136,synthetic,low
